date,euro_area_ip,geo
2000-01-01,92.1,EA19
2000-02-01,93.2,EA19
2000-03-01,93.6,EA19
2000-04-01,94.7,EA19
2000-05-01,96.0,EA19
2000-06-01,94.7,EA19
2000-07-01,95.9,EA19
2000-08-01,95.9,EA19
2000-09-01,96.0,EA19
2000-10-01,96.2,EA19
2000-11-01,97.1,EA19
2000-12-01,97.8,EA19
2001-01-01,96.9,EA19
2001-02-01,97.3,EA19
2001-03-01,96.8,EA19
2001-04-01,95.9,EA19
2001-05-01,96.2,EA19
2001-06-01,96.2,EA19
2001-07-01,94.5,EA19
2001-08-01,96.7,EA19
2001-09-01,95.5,EA19
2001-10-01,94.1,EA19
2001-11-01,93.5,EA19
2001-12-01,94.2,EA19
2002-01-01,94.2,EA19
2002-02-01,94.5,EA19
2002-03-01,95.4,EA19
2002-04-01,95.1,EA19
2002-05-01,95.5,EA19
2002-06-01,96.0,EA19
2002-07-01,95.2,EA19
2002-08-01,95.6,EA19
2002-09-01,95.9,EA19
2002-10-01,95.3,EA19
2002-11-01,95.9,EA19
2002-12-01,94.4,EA19
2003-01-01,96.0,EA19
2003-02-01,96.2,EA19
2003-03-01,95.4,EA19
2003-04-01,95.8,EA19
2003-05-01,94.2,EA19
2003-06-01,94.2,EA19
2003-07-01,95.8,EA19
2003-08-01,94.7,EA19
2003-09-01,94.5,EA19
2003-10-01,96.9,EA19
2003-11-01,96.6,EA19
2003-12-01,96.8,EA19
2004-01-01,96.7,EA19
2004-02-01,97.2,EA19
2004-03-01,96.9,EA19
2004-04-01,97.8,EA19
2004-05-01,97.9,EA19
2004-06-01,97.9,EA19
2004-07-01,98.7,EA19
2004-08-01,96.6,EA19
2004-09-01,98.1,EA19
2004-10-01,98.6,EA19
2004-11-01,97.5,EA19
2004-12-01,97.5,EA19
2005-01-01,98.3,EA19
2005-02-01,98.1,EA19
2005-03-01,98.0,EA19
2005-04-01,99.5,EA19
2005-05-01,98.1,EA19
2005-06-01,99.0,EA19
2005-07-01,99.5,EA19
2005-08-01,98.4,EA19
2005-09-01,99.8,EA19
2005-10-01,100.0,EA19
2005-11-01,101.6,EA19
2005-12-01,100.5,EA19
2006-01-01,101.3,EA19
2006-02-01,101.3,EA19
2006-03-01,102.0,EA19
2006-04-01,102.3,EA19
2006-05-01,103.8,EA19
2006-06-01,103.7,EA19
2006-07-01,103.5,EA19
2006-08-01,103.8,EA19
2006-09-01,103.9,EA19
2006-10-01,103.7,EA19
2006-11-01,104.6,EA19
2006-12-01,106.2,EA19
2007-01-01,105.7,EA19
2007-02-01,106.3,EA19
2007-03-01,106.9,EA19
2007-04-01,105.5,EA19
2007-05-01,107.4,EA19
2007-06-01,107.4,EA19
2007-07-01,107.6,EA19
2007-08-01,108.4,EA19
2007-09-01,107.9,EA19
2007-10-01,108.7,EA19
2007-11-01,108.1,EA19
2007-12-01,108.5,EA19
2008-01-01,109.5,EA19
2008-02-01,109.3,EA19
2008-03-01,108.8,EA19
2008-04-01,110.1,EA19
2008-05-01,106.8,EA19
2008-06-01,107.0,EA19
2008-07-01,106.0,EA19
2008-08-01,105.7,EA19
2008-09-01,104.8,EA19
2008-10-01,102.3,EA19
2008-11-01,98.5,EA19
2008-12-01,94.9,EA19
2009-01-01,91.0,EA19
2009-02-01,89.0,EA19
2009-03-01,87.8,EA19
2009-04-01,86.6,EA19
2009-05-01,88.7,EA19
2009-06-01,89.2,EA19
2009-07-01,89.4,EA19
2009-08-01,89.5,EA19
2009-09-01,91.6,EA19
2009-10-01,91.3,EA19
2009-11-01,91.5,EA19
2009-12-01,91.5,EA19
2010-01-01,93.1,EA19
2010-02-01,92.6,EA19
2010-03-01,94.3,EA19
2010-04-01,94.7,EA19
2010-05-01,96.5,EA19
2010-06-01,96.6,EA19
2010-07-01,96.2,EA19
2010-08-01,97.1,EA19
2010-09-01,97.2,EA19
2010-10-01,98.0,EA19
2010-11-01,98.9,EA19
2010-12-01,99.7,EA19
2011-01-01,99.1,EA19
2011-02-01,100.1,EA19
2011-03-01,100.2,EA19
2011-04-01,99.8,EA19
2011-05-01,100.4,EA19
2011-06-01,99.0,EA19
2011-07-01,100.0,EA19
2011-08-01,100.1,EA19
2011-09-01,99.1,EA19
2011-10-01,98.8,EA19
2011-11-01,99.1,EA19
2011-12-01,98.5,EA19
2012-01-01,97.7,EA19
2012-02-01,98.4,EA19
2012-03-01,98.2,EA19
2012-04-01,97.4,EA19
2012-05-01,98.3,EA19
2012-06-01,97.4,EA19
2012-07-01,97.7,EA19
2012-08-01,98.4,EA19
2012-09-01,96.6,EA19
